city,post_code,piece,badrooms,price,size,link,desc,detail,monthly_simu,ref,updated_at,ce,ges,transports,contact,elevator,balcon,cave,parking,floor,warming,window,mngt_fee,ppt_tax,shower,bedroom_desc,livroom_desc,kitchen_desc
Saint-Maur-Des-Fossés,94210,2,1,299000 ,47.00,/annonces/appartement-saint-maur-des-fosses-94210-r443502012,"Situé dans le quartier des Mûriers à St-Maur-des-Fossés, à proximité immédiate des bords de marne (5 minutes à pied), je vous invite à découvrir ce beau T2 d'une superficie de 47 m².L'appartement...","Situé dans le quartier des Mûriers à St-Maur-des-Fossés, à proximité immédiate des bords de marne (5 minutes à pied), je vous invite à découvrir ce beau T2 d'une superficie de 47 m².L'appartement est situé au 4ème et dernier étage de l'immeuble, accessible à l'aide d'un ascenseur.Il se compose d'une petite entrée donnant sur un grand salon avec une cuisine ouverte, bien aménagée et entièrement équipée (lave-vaisselle, four, four à micro-onde, et plaques de cuisson).Surplombant la ville, un grand balcon filant de 10 m² vous donnera accès à une vue dégagée sur les toits de la ville de Saint-Maur.Au fond de la pièce se trouve l'espace nuit avec une salle d'eau comportant une belle et grande douche à l'italienne (toilettes séparées).Attenante à la salle de bain, vous trouverez une chambre comportant un grand placard intégré et avec un accès sur le balcon filant. L'appartement étant situé en bout d'immeuble, il n'y a pas de voisin côté chambre.Niveau exposition, il vous sera possible d'assister à de magnifiques couchés de soleil tous les soirs, l'appartement est très lumineux jusqu'à 21h30 -22h en été.L'appartement a été rénové en 2018, il n'y a pas de travaux à prévoir dans l'immédiat. Le bien comporte également une cave de 4 m².Pour pouvoir facilement vous stationner, il est également possible d'acheter un box de 15 m² situé dans le parking souterrain de la copropriété (en supplément).L'immeuble se situe également à moins d'une minute à pied d'un arrêt de bus (ligne 117) qui vous dépose en 9 minutes à la gare du RER A de Champigny afin de pouvoir rejoindre Paris facilement.Les charges de copropriété sont de 325 euros par mois (entretien de l'immeuble, eau chaude, eau froide et chauffage inclus).Un ravalement intégral de l'immeuble a été effectué durant le premier semestre de l'année 2023, celui-ci a été totalement payé (300 000 euros au total).A visiter sans tarder !",983,E35/2012,29 juin 2023,F,F,"Sucy - Bonneuil:rer-0,rer-a,;",,L'appartement est situé au 4ème et dernier étage de l'immeuble accessible à l'aide d'un ascenseur,Surplombant la ville un grand balcon filant de 10 m² vous donnera accès à une vue dégagée sur les toits de la ville de Saint-MaurAttenante à la salle de bain vous trouverez une chambre comportant un grand placard intégré et avec un accès sur le balcon filant,Le bien comporte également une cave de 4 m²,Pour pouvoir facilement vous stationner il est également possible d'acheter un box de 15 m² situé dans le parking souterrain de la copropriété (en supplément),L'appartement est situé au 4ème et dernier étage de l'immeuble accessible à l'aide d'un ascenseur,Les charges de copropriété sont de 325 euros par mois (entretien de l'immeuble eau chaude eau froide et chauffage inclus),,Les charges de copropriété sont de 325 euros par mois (entretien de l'immeuble eau chaude eau froide et chauffage inclus),,Au fond de la pièce se trouve l'espace nuit avec une salle d'eau comportant une belle et grande douche à l'italienne (toilettes séparées)Attenante à la salle de bain vous trouverez une chambre comportant un grand placard intégré et avec un accès sur le balcon filant,Attenante à la salle de bain vous trouverez une chambre comportant un grand placard intégré et avec un accès sur le balcon filantL'appartement étant situé en bout d'immeuble il n'y a pas de voisin côté chambre,,Il se compose d'une petite entrée donnant sur un grand salon avec une cuisine ouverte bien aménagée et entièrement équipée (lave-vaisselle four four à micro-onde et plaques de cuisson). 
Boulogne-Billancourt,92100,2,1,280000 ,34.34,/annonces/appartement-boulogne-billancourt-92100-r447100983,"Quartier Point du Jour / Pierre Grenier - Métro Porte de Saint-Cloud.Dans bel immeuble 1930 aux parties communes très bien entretenues, appartement de 2 pièces d'une superficie, 34.34 m², au 6ème...","Quartier Point du Jour / Pierre Grenier - Métro Porte de Saint-Cloud.Dans bel immeuble 1930 aux parties communes très bien entretenues, appartement de 2 pièces d'une superficie, 34.34 m², au 6ème étage avec ascenseur, sur cour au calme, plein ouest.Il est composé d'une entrée, d'un séjour, d'une chambre avec placards, d'une cuisine aménagée, d'une salle de bains, et wc séparés.Parquet en chêne vitrifié, fenêtres pvc double vitrage, digicode, interphone.Charges de copropriété : 2.065 €/an chauffage collectif inclus, eau chaude individuelle. Copropriété de 22 lots principaux. Pas de procédure en cours.",910,E71/0983,29 juin 2023,E,D,"Issy - Val de Seine:tram-0,tram-2,rer-0,rer-c,;",,34 m² au 6ème étage avec ascenseur sur cour au calme plein ouest,,,,34 m² au 6ème étage avec ascenseur sur cour au calme plein ouest,065 €/an chauffage collectif inclus eau chaude individuelle,,Charges de copropriété : 2,,Il est composé d'une entrée d'un séjour d'une chambre avec placards d'une cuisine aménagée d'une salle de bains et wc séparés,Il est composé d'une entrée d'un séjour d'une chambre avec placards d'une cuisine aménagée d'une salle de bains et wc séparés,Il est composé d'une entrée d'un séjour d'une chambre avec placards d'une cuisine aménagée d'une salle de bains et wc séparés.,Il est composé d'une entrée d'un séjour d'une chambre avec placards d'une cuisine aménagée d'une salle de bains et wc séparés. 
Puteaux,92800,2,1,315000 ,42.00,/annonces/appartement-puteaux-92800-r443700708,"**Appartement calme et lumineux de 42m²** situé au 6ème et dernier étage d’un immeuble avec 2 ascenseurs et gardien, exposé Nord Est, à proximité de toutes commodités (écoles, lycées, salles de...","Appartement calme et lumineux de 42m² situé au 6ème et dernier étage d’un immeuble avec 2 ascenseurs et gardien, exposé Nord Est, à proximité de toutes commodités (écoles, lycées, salles de sports, commerces et transports – bus 93 (direction Les Invalides)/144 (direction La Défense) à 3min à pied, gare et tram à 700m). A 15 mn à pied de la Défense.Il se compose d’une entrée desservant un séjour avec placards intégrés, fenêtres avec vue sur jardin et de loin sur la Défense, une cuisine équipée ouverte sur le séjour ;Un petit couloir dessert une chambre, une salle de bains (avec baignoire, lavabo) et un wc séparé.Une cave avec de 3,5m² complète de bien.Chauffage collectif, double vitrage, travaux de rafraichissement à prévoir.Charge de copropriété : 2000E/ anTaxe habitation : 138E/ an",1.044,E37/0708,29 juin 2023,D,D,"Esplanade de la Défense:metro-0,metro-1,;",,Appartement calme et lumineux de 42m² situé au 6ème et dernier étage d’un immeuble avec 2 ascenseurs et gardien exposé Nord Est à proximité de toutes commodités (écoles lycées salles de sports commerces et transports – bus 93 (direction Les Invalides)/144 (direction La Défense) à 3min à pied gare et tram à 700m),,Une cave avec de 35m² complète de bien,,Appartement calme et lumineux de 42m² situé au 6ème et dernier étage d’un immeuble avec 2 ascenseurs et gardien exposé Nord Est à proximité de toutes commodités (écoles lycées salles de sports commerces et transports – bus 93 (direction Les Invalides)/144 (direction La Défense) à 3min à pied gare et tram à 700m),Chauffage collectif double vitrage travaux de rafraichissement à prévoir,,Charge de copropriété : 2000E/ anTaxe habitation : 138E/ an,,Un petit couloir dessert une chambre une salle de bains (avec baignoire lavabo) et un wc séparé,Un petit couloir dessert une chambre une salle de bains (avec baignoire lavabo) et un wc séparé,Il se compose d’une entrée desservant un séjour avec placards intégrés fenêtres avec vue sur jardin et de loin sur la Défense une cuisine équipée ouverte sur le séjour.,Il se compose d’une entrée desservant un séjour avec placards intégrés fenêtres avec vue sur jardin et de loin sur la Défense une cuisine équipée ouverte sur le séjour. 
Colombes,92700,2,1,212000 ,46.00,/annonces/appartement-colombes-92700-r447802473,"Dans le quartier calme et recherché des Vallées, à proximité de la coulée verte, des commerces de la rue Saint Denis, à cinq minutes à pieds de la gare de Colombes et à dix minutes de celle des...","Dans le quartier calme et recherché des Vallées, à proximité de la coulée verte, des commerces de la rue Saint Denis, à cinq minutes à pieds de la gare de Colombes et à dix minutes de celle des Vallées, venez découvrir cet agréable 2 pièces. Appartement au rez-de-chaussée  avec un salon en retrait de la petite rue peu passante et donnant sur une pelouse, une chambre sur cours ainsi qu'une cuisine équipée, un grand couloir avec un placard, une salle de bain et des toilettes séparées. Bien lumineux et traversant, avec une double exposition et une belle hauteur sous plafond, complété par une cave et un local à vélos collectif. Charges de 200 euros par mois incluant l'eau froide, le chauffage collectif au gaz et la gardienne.",648,E78/2473,29 juin 2023,G,F,"Gare du Stade:tram-0,tram-1,;",06.85.89.38.95,,,Bien lumineux et traversant avec une double exposition et une belle hauteur sous plafond complété par une cave et un local à vélos collectif,,,Charges de 200 euros par mois incluant l'eau froide le chauffage collectif au gaz et la gardienne,,Charges de 200 euros par mois incluant l'eau froide le chauffage collectif au gaz et la gardienne,,Appartement au rez-de-chaussée  avec un salon en retrait de la petite rue peu passante et donnant sur une pelouse une chambre sur cours ainsi qu'une cuisine équipée un grand couloir avec un placard une salle de bain et des toilettes séparées,Appartement au rez-de-chaussée  avec un salon en retrait de la petite rue peu passante et donnant sur une pelouse une chambre sur cours ainsi qu'une cuisine équipée un grand couloir avec un placard une salle de bain et des toilettes séparées,,Appartement au rez-de-chaussée  avec un salon en retrait de la petite rue peu passante et donnant sur une pelouse une chambre sur cours ainsi qu'une cuisine équipée un grand couloir avec un placard une salle de bain et des toilettes séparées. 
Asnières-Sur-Seine,0,2,1,260000 ,34.00,/annonces/appartement-asnieres-sur-seine-r448400235,"**A 15mn de Paris Saint-Lazare, aux abords du centre ville et de ses commerces, mais calme assuré..****Immeuble fin 1800 bien entretenu, parquet d’origine, cheminée, moulures, 5ème étage avec...","A 15mn de Paris Saint-Lazare, aux abords du centre ville et de ses commerces, mais calme assuré..Immeuble fin 1800 bien entretenu, parquet d’origine, cheminée, moulures, 5ème étage avec balconnet. Idéal primo-accédants, situation géographique parfaite !Vous serez séduits par le calme, la luminosité, grâce à plusieurs avantages, et l’agencement de ce 2 pièces offrant : une entrée avec placard, un salon bien exposé, une belle chambre avec un grand dressing, une cuisine aménagée séparée, des toilettes séparées rénovées en 2023. Cave en sous-sol et local vélos dans la charmante cour intérieure.Chauffage individuel électrique à inertie.Charges trimestrielles 242€, eau comprise, taxe foncière 383€.DPE G, GES C.Aucuns travaux dans la copropriété.",833,E84/0235,29 juin 2023,G,C,"Gabriel Péri - Asnières - Gennevilliers:metro-0,metro-13,tram-0,tram-1,;",,,Immeuble fin 1800 bien entretenu parquet d’origine cheminée moulures 5ème étage avec balconnet,Cave en sous-sol et local vélos dans la charmante cour intérieure,,Immeuble fin 1800 bien entretenu parquet d’origine cheminée moulures 5ème étage avec balconnet,Chauffage individuel électrique à inertie,,Charges trimestrielles 242€ eau comprise taxe foncière 383€,,,Idéal primo-accédants situation géographique parfaite !Vous serez séduits par le calme la luminosité grâce à plusieurs avantages et l’agencement de ce 2 pièces offrant : une entrée avec placard un salon bien exposé une belle chambre avec un grand dressing une cuisine aménagée séparée des toilettes séparées rénovées en 2023,,Idéal primo-accédants situation géographique parfaite !Vous serez séduits par le calme la luminosité grâce à plusieurs avantages et l’agencement de ce 2 pièces offrant : une entrée avec placard un salon bien exposé une belle chambre avec un grand dressing une cuisine aménagée séparée des toilettes séparées rénovées en 2023. 
Bagneux,0,2,1,239000 ,39.00,/annonces/appartement-bagneux-r448400655,"Idéal investissement locatif, appartement vendu avec locataire.Bien très recherché sur le secteur, vue imprenable sur un écrin de verdure au cœur du quartier historique de Bagneux.**Très beau 2...","Idéal investissement locatif, appartement vendu avec locataire.Bien très recherché sur le secteur, vue imprenable sur un écrin de verdure au cœur du quartier historique de Bagneux.Très beau 2 pièces, au 2ème étage, lumineux et fonctionnel de 39 m2 avec vue sur jardin.Il comprend : une entrée, une pièce principale, une chambre, une cuisine aménagée et une salle de bains + wc.Résidence de 2012, promoteur Kaufman & Broad, sécurisée avec digicode.À proximité des transports :Bus : 388 - 391 - 128Métro Ligne 4.Copropriété de 38 lots (Pas de procédure en cours).Charges annuelles : 665€! Agences et professionnels s'abstenir merci !",752,E84/0655,29 juin 2023,E,B,"Bagneux:rer-0,rer-b,;",06.80.43.88.85,,,,,Très beau 2 pièces au 2ème étage lumineux et fonctionnel de 39 m2 avec vue sur jardin,,,Charges annuelles : 665€! Agences et professionnels s'abstenir merci !,,Il comprend : une entrée une pièce principale une chambre une cuisine aménagée et une salle de bains + wc,Il comprend : une entrée une pièce principale une chambre une cuisine aménagée et une salle de bains + wc,,Il comprend : une entrée une pièce principale une chambre une cuisine aménagée et une salle de bains + wc. 
Colombes,92700,2,1,270000 ,46.00,/annonces/appartement-colombes-92700-r448500803,"Colombes 92700 - 2 Pièces - rez-de-jardinDans un quartier calme, à proximité des commerces et des transports, venez découvrir cet appartement qui se situe dans une copropriété neuve et très bien...","Colombes 92700 - 2 Pièces - rez-de-jardinDans un quartier calme, à proximité des commerces et des transports, venez découvrir cet appartement qui se situe dans une copropriété neuve et très bien entretenue.L'appartement est composé ainsi : une entrée avec des rangements, un séjour avec une cuisine ouverte tout équipée et aménagée (de qualité), une chambre avec deux belles fenêtres, une salle de bain avec un wc, ainsi que son jardin qui est accessible depuis le séjour et la chambre.Ce beau Rez-de-jardin donne sur une cour intérieur, à l'abri des regards, sans vis-à-vis, vous pourrez profiter de son jardin de 22 m², avec le soleil qui donne directement sur la terrasse, car il est exposé à l'EST.Une grande place de parking dans la copropriété est inclus.Local vélo et poussette.Appartement coup de cœur - rare sur le secteur - à voir absolumentAgences s'abstenir vraiment !",871,E85/0803,28 juin 2023,D,D,"Les Greves:tram-0,tram-1,;",,,,,Une grande place de parking dans la copropriété est inclus,,,,,,L'appartement est composé ainsi : une entrée avec des rangements un séjour avec une cuisine ouverte tout équipée et aménagée (de qualité) une chambre avec deux belles fenêtres une salle de bain avec un wc ainsi que son jardin qui est accessible depuis le séjour et la chambre,L'appartement est composé ainsi : une entrée avec des rangements un séjour avec une cuisine ouverte tout équipée et aménagée (de qualité) une chambre avec deux belles fenêtres une salle de bain avec un wc ainsi que son jardin qui est accessible depuis le séjour et la chambre,L'appartement est composé ainsi : une entrée avec des rangements un séjour avec une cuisine ouverte tout équipée et aménagée (de qualité) une chambre avec deux belles fenêtres une salle de bain avec un wc ainsi que son jardin qui est accessible depuis le séjour et la chambre.,L'appartement est composé ainsi : une entrée avec des rangements un séjour avec une cuisine ouverte tout équipée et aménagée (de qualité) une chambre avec deux belles fenêtres une salle de bain avec un wc ainsi que son jardin qui est accessible depuis le séjour et la chambre. 
Issy-Les-Moulineaux,92130,2,1,280000 ,34.00,/annonces/appartement-issy-les-moulineaux-92130-r447900227,2 pièces 34 m² dans l'immeuble Belvédère résidence phare de l'éco-quartier 'Fort d'Issy' construit en 2013 au sein d'un bel espace paysager - Construction aux normes BBC  (Bâtiment Basse...,"2 pièces 34 m² dans l'immeuble Belvédère résidence phare de l'éco-quartier 'Fort d'Issy' construit en 2013 au sein d'un bel espace paysager - Construction aux normes BBC  (Bâtiment Basse Consommation) et RT 2012. Etage 1/6 côté verger.Appartement en parfait état composé d'un séjour avec coin cuisine aménagé, d'une chambre et d'une salle de bains avec wc - Parquet chêne dans le séjour et la chambre - Equipement domotique (écran de contrôle tactile), volets roulants motorisés, fibre optique... Chauffage collectif au sol par géothermie et pompe à chaleur (sèche serviette électrique dans la salle de bain). Collecte pneumatique des déchets.  Place de parking en sous-sol inclus.A proximité immédiate des commerces, des écoles, d'installations sportives et des transports (bus 169, Tuvim transport urbain d'Issy gratuit, métro ligne 12 'Mairie d'Issy', gare de Clamart, future ligne 15 Grand Paris).",910,E79/0227,29 juin 2023,C,C,"Mairie d'Issy:metro-0,metro-12,;",06.08.91.45.42,,,,Place de parking en sous-sol inclus,,Chauffage collectif au sol par géothermie et pompe à chaleur (sèche serviette électrique dans la salle de bain),,,,Appartement en parfait état composé d'un séjour avec coin cuisine aménagé d'une chambre et d'une salle de bains avec wc - Parquet chêne dans le séjour et la chambre - Equipement domotique (écran de contrôle tactile) volets roulants motorisés fibre optiqueChauffage collectif au sol par géothermie et pompe à chaleur (sèche serviette électrique dans la salle de bain),Appartement en parfait état composé d'un séjour avec coin cuisine aménagé d'une chambre et d'une salle de bains avec wc - Parquet chêne dans le séjour et la chambre - Equipement domotique (écran de contrôle tactile) volets roulants motorisés fibre optique,Appartement en parfait état composé d'un séjour avec coin cuisine aménagé d'une chambre et d'une salle de bains avec wc - Parquet chêne dans le séjour et la chambre - Equipement domotique (écran de contrôle tactile) volets roulants motorisés fibre optique.,Appartement en parfait état composé d'un séjour avec coin cuisine aménagé d'une chambre et d'une salle de bains avec wc - Parquet chêne dans le séjour et la chambre - Equipement domotique (écran de contrôle tactile) volets roulants motorisés fibre optique. 
Créteil,94000,2,1,245000 ,49.92,/annonces/appartement-creteil-94000-r447400266,"F2 rénové de 49,92 m² au 3ème étage sur 18 Créteil Préfecture / Place de la marie / Les PhilipinesAppartement en excellent état composé d'une entrée avec cuisine américaine, un séjour d'environ 20...","F2 rénové de 49,92 m² au 3ème étage sur 18 Créteil Préfecture / Place de la marie / Les PhilipinesAppartement en excellent état composé d'une entrée avec cuisine américaine, un séjour d'environ 20 m² lumineux donnant sur balcon (3 m²) avec vue dégagée, chambre de 13 m² avec grand placard, salle d'eau et couloir avec grand placard + cave.Ascenseur Chauffage et eau chaude collectifs.Proche de toutes commodités : transports en commun (à 5 minutes du métro ligne 8 Créteil Préfecture, desservi par de nombreux bus), proche écoles (de la maternelle à l'université), centre commercial/carrefour, la Poste, la Mairie et des loisirs (restaurants, cinémas, bibliothèque, salle de sport).",775,E74/0266,29 juin 2023,C,B,"Créteil - Pointe du Lac:metro-0,metro-8,;",06.32.14.18.09,Ascenseur Chauffage et eau chaude collectifs,F2 rénové de 4992 m² au 3ème étage sur 18 Créteil Préfecture / Place de la marie / Les PhilipinesAppartement en excellent état composé d'une entrée avec cuisine américaine un séjour d'environ 20 m² lumineux donnant sur balcon (3 m²) avec vue dégagée chambre de 13 m² avec grand placard salle d'eau et couloir avec grand placard + cave,F2 rénové de 4992 m² au 3ème étage sur 18 Créteil Préfecture / Place de la marie / Les PhilipinesAppartement en excellent état composé d'une entrée avec cuisine américaine un séjour d'environ 20 m² lumineux donnant sur balcon (3 m²) avec vue dégagée chambre de 13 m² avec grand placard salle d'eau et couloir avec grand placard + cave,,F2 rénové de 4992 m² au 3ème étage sur 18 Créteil Préfecture / Place de la marie / Les PhilipinesAppartement en excellent état composé d'une entrée avec cuisine américaine un séjour d'environ 20 m² lumineux donnant sur balcon (3 m²) avec vue dégagée chambre de 13 m² avec grand placard salle d'eau et couloir avec grand placard + cave,Ascenseur Chauffage et eau chaude collectifs,,,,,F2 rénové de 4992 m² au 3ème étage sur 18 Créteil Préfecture / Place de la marie / Les PhilipinesAppartement en excellent état composé d'une entrée avec cuisine américaine un séjour d'environ 20 m² lumineux donnant sur balcon (3 m²) avec vue dégagée chambre de 13 m² avec grand placard salle d'eau et couloir avec grand placard + cave,F2 rénové de 4992 m² au 3ème étage sur 18 Créteil Préfecture / Place de la marie / Les PhilipinesAppartement en excellent état composé d'une entrée avec cuisine américaine un séjour d'environ 20 m² lumineux donnant sur balcon (3 m²) avec vue dégagée chambre de 13 m² avec grand placard salle d'eau et couloir avec grand placard + cave.,F2 rénové de 4992 m² au 3ème étage sur 18 Créteil Préfecture / Place de la marie / Les PhilipinesAppartement en excellent état composé d'une entrée avec cuisine américaine un séjour d'environ 20 m² lumineux donnant sur balcon (3 m²) avec vue dégagée chambre de 13 m² avec grand placard salle d'eau et couloir avec grand placard + cave. 
Fontenay-Aux-Roses,92260,2,1,255000 ,50.00,/annonces/appartement-fontenay-aux-roses-92260-r445800893,"Appartement 2 pièces de 50m2, en très bon état, lumineux dans un petit immeuble de 4 étages dans une résidence de Haut standing calme et verdoyante.Le bien vient accompagné d'une grande cave de...","Appartement 2 pièces de 50m2, en très bon état, lumineux dans un petit immeuble de 4 étages dans une résidence de Haut standing calme et verdoyante.Le bien vient accompagné d'une grande cave de 10m2 et d'une place de stationnement privative dans un parking en sous sol couvert et sécurisé.L'immeuble est équipé d'un ascenseur et vous permettra d'accéder à votre étage.Dans l'appartement, un grand Hall d'entrée vient desservir les différentes pièces :-   Une chambre de 11m2.-   Un grand séjour de 17m2 donnant sur le Balcon.-   Une cuisine aménagée et équipée de 6,5m2-   Une salle de Bain de 5m2-   Un grand balcon de 6m2 avec vue sur Jardin.De nombreux placards de rangement viennent compléter l'intérieur de l'appartement.Appartement rafraîchi. Aucuns travaux à prévoir.A propos de la copropriété : Aucune procédure en cours.Le montant des charges de copropriétés : 210€/ moisMontant estimé des dépenses annuelles d'énergie pour un usage standard : 649€ par an. Prix moyens des énergies indexés sur l'année 2009-2010-2011 (abonnements compris).N'hésitez pas à me contacter si vous souhaitez obtenir des informations, obtenir des photos supplémentaires ou programmer une visite.Pas de démarchage commercial svp.",814,E58/0893,29 juin 2023,D,E,"Division Leclerc:tram-0,tram-6,;",,L'immeuble est équipé d'un ascenseur et vous permettra d'accéder à votre étage,-   Un grand séjour de 17m2 donnant sur le Balcon-   Une cuisine aménagée et équipée de 65m2-   Une salle de Bain de 5m2-   Un grand balcon de 6m2 avec vue sur Jardin,Le bien vient accompagné d'une grande cave de 10m2 et d'une place de stationnement privative dans un parking en sous sol couvert et sécurisé,Le bien vient accompagné d'une grande cave de 10m2 et d'une place de stationnement privative dans un parking en sous sol couvert et sécurisé,Appartement 2 pièces de 50m2 en très bon état lumineux dans un petit immeuble de 4 étages dans une résidence de Haut standing calme et verdoyanteL'immeuble est équipé d'un ascenseur et vous permettra d'accéder à votre étage,,,Le montant des charges de copropriétés : 210€/ moisMontant estimé des dépenses annuelles d'énergie pour un usage standard : 649€ par an,,-   Une cuisine aménagée et équipée de 65m2-   Une salle de Bain de 5m2-   Un grand balcon de 6m2 avec vue sur Jardin,Dans l'appartement un grand Hall d'entrée vient desservir les différentes pièces :-   Une chambre de 11m2,-   Un grand séjour de 17m2 donnant sur le Balcon.,-   Une cuisine aménagée et équipée de 65m2-   Une salle de Bain de 5m2-   Un grand balcon de 6m2 avec vue sur Jardin. 
Meudon,92190,2,1,335000 ,50.00,/annonces/appartement-meudon-92190-r448001457,"Au cœur d'un parc arboré et fleuri, appartement de 50m² situé au 1er étage d'un immeuble de 3 étages sans ascenseur, exposé Est, à proximité de toutes commodités (écoles, commerces, transports -gare...","Au cœur d'un parc arboré et fleuri, appartement de 50m² situé au 1er étage d'un immeuble de 3 étages sans ascenseur, exposé Est, à proximité de toutes commodités (écoles, commerces, transports -gare ligne N à 5 min à pied, tram T2 et ligne RER C à 10 min à pied).Il se compose d’une entrée avec placards desservant un séjour lumineux avec parquet et porte-fenêtre menant au balcon avec vue sur la résidence, une cuisine indépendante équipée, une chambre avec parquet et porte-fenêtre sur balcon, et salle de bains avec baignoire et wc.Une cave et un emplacement de parking en extérieur et sécurisé complètent ce bien.Chauffage au gaz, double vitrage.Charges de copropriété : 2500E/ anTaxe foncière : 845E/ an",1.121,E80/1457,29 juin 2023,D,D,"Meudon-sur-Seine:tram-0,tram-2,;",,Au cœur d'un parc arboré et fleuri appartement de 50m² situé au 1er étage d'un immeuble de 3 étages sans ascenseur exposé Est à proximité de toutes commodités (écoles commerces transports -gare ligne N à 5 min à pied tram T2 et ligne RER C à 10 min à pied),Il se compose d’une entrée avec placards desservant un séjour lumineux avec parquet et porte-fenêtre menant au balcon avec vue sur la résidence une cuisine indépendante équipée une chambre avec parquet et porte-fenêtre sur balcon et salle de bains avec baignoire et wc,Une cave et un emplacement de parking en extérieur et sécurisé complètent ce bien,Une cave et un emplacement de parking en extérieur et sécurisé complètent ce bien,Au cœur d'un parc arboré et fleuri appartement de 50m² situé au 1er étage d'un immeuble de 3 étages sans ascenseur exposé Est à proximité de toutes commodités (écoles commerces transports -gare ligne N à 5 min à pied tram T2 et ligne RER C à 10 min à pied),Chauffage au gaz double vitrage,,Charges de copropriété : 2500E/ anTaxe foncière : 845E/ an,,Il se compose d’une entrée avec placards desservant un séjour lumineux avec parquet et porte-fenêtre menant au balcon avec vue sur la résidence une cuisine indépendante équipée une chambre avec parquet et porte-fenêtre sur balcon et salle de bains avec baignoire et wc,Il se compose d’une entrée avec placards desservant un séjour lumineux avec parquet et porte-fenêtre menant au balcon avec vue sur la résidence une cuisine indépendante équipée une chambre avec parquet et porte-fenêtre sur balcon et salle de bains avec baignoire et wc,Il se compose d’une entrée avec placards desservant un séjour lumineux avec parquet et porte-fenêtre menant au balcon avec vue sur la résidence une cuisine indépendante équipée une chambre avec parquet et porte-fenêtre sur balcon et salle de bains avec baignoire et wc.,Il se compose d’une entrée avec placards desservant un séjour lumineux avec parquet et porte-fenêtre menant au balcon avec vue sur la résidence une cuisine indépendante équipée une chambre avec parquet et porte-fenêtre sur balcon et salle de bains avec baignoire et wc. 
Malakoff,92240,2,1,283000 ,39.50,/annonces/appartement-malakoff-92240-r447900912,"L'appartement est un **40m²**, situé au rez-de-chaussée mais il y a un rez-de-jardin au-dessous donc les fenêtres sont comme au premier étage.Il n'y a **pas de vis-à-vis** (le bâtiment le plus...","L'appartement est un 40m², situé au rez-de-chaussée mais il y a un rez-de-jardin au-dessous donc les fenêtres sont comme au premier étage.Il n'y a pas de vis-à-vis (le bâtiment le plus proche est à plus de 50m avec des arbres entre l'appartement et le bâtiment).Grand salon (~20 m²) très lumineux grâce à deux grandes fenêtres (orientée Nord-Est) qui font la longueur du salon. Le salon est plutôt spacieux, et peut être séparé en deux plus petites pièces pour faire un bureau par exemple.Cuisine : ouverte sur le salon, comprend beaucoup de rangements, j'y ai un grand réfrigérateur (pas les américains non plus mais quand même un vrai réfrigérateur), un lave-vaisselle, un micro-ondes, un four (un petit pour le coup) et deux plaques au gaz. Un petit 'bar' sépare la cuisine du salon.Salle de bain : wc, lavabo+miroir et baignoire et de la place pour une grande étagère.La chambre contient un lit en 160 cm et trois étagères. Elle est reliée à l'entrée par une porte classique et au salon par une double porte coulissante façon japonaise.Grand débarras : une énorme penderie, de la place pour ranger au-dessus, un lave-linge et encore de la place pour faire sécher le linge délicat.L’appartement est tout équipé/meublé, je peux donner les meubles à la vente.Prix négociable.- Autour de l'appartementProche métro 13 Malakoff Etienne Dolet (5 min à pied) et Châtillon - Montrouge (Métro 13 et Tram 6, 8 min à pied).Supermarché à proximité.Chauffage et eau chaude collectifs, charges d'environ 120e par mois (tout compris).Classe énergie E (234 kWh/m²/an), Émissions de GES classe E.Estimation des coûts annuels d'énergie du logement, entre 480€ et 700€ (données diagnostiqueur, mais c'est compris dans les charges).",921,E79/0912,29 juin 2023,E,E,"Vanves - Malakoff:train-0,train-n,;",06.34.08.18.09,,,,,L'appartement est un 40m² situé au rez-de-chaussée mais il y a un rez-de-jardin au-dessous donc les fenêtres sont comme au premier étage,Chauffage et eau chaude collectifs charges d'environ 120e par mois (tout compris),,Chauffage et eau chaude collectifs charges d'environ 120e par mois (tout compris)Estimation des coûts annuels d'énergie du logement entre 480€ et 700€ (données diagnostiqueur mais c'est compris dans les charges),,Salle de bain : wc lavabo+miroir et baignoire et de la place pour une grande étagère,La chambre contient un lit en 160 cm et trois étagères,,Cuisine : ouverte sur le salon comprend beaucoup de rangements j'y ai un grand réfrigérateur (pas les américains non plus mais quand même un vrai réfrigérateur) un lave-vaisselle un micro-ondes un four (un petit pour le coup) et deux plaques au gaz. Un petit bar sépare la cuisine du salon. 
